HosRetailSiteID,HosProductCode,LastUpdated,HosRetailSiteFlag
100480,4991,2017-08-09 00:05:44.900,1
100512,0,2017-08-09 00:05:53.573,1
100512,2491,2019-01-15 14:55:06.287,1
100512,2492,2019-01-15 14:55:06.270,1
100512,2493,2019-01-15 14:55:06.270,1
100512,4991,2017-08-09 00:05:37.927,1
100521,0,2017-08-09 00:06:01.203,1
100521,2491,2019-01-15 14:50:09.010,1
100521,2492,2019-01-15 14:50:08.997,1
100521,2493,2019-01-15 14:50:09.010,1
100521,4991,2017-08-09 00:05:43.683,1
100530,0,2017-08-09 00:05:58.363,1
100530,2491,2019-01-15 14:55:06.287,1
100530,2492,2019-01-15 14:55:06.287,1
100530,2493,2019-01-15 14:55:06.287,1
100530,4991,2017-08-09 00:05:54.637,1
100534,0,2017-08-09 00:06:01.890,1
100534,2491,2019-01-15 14:55:06.287,1
100534,2492,2019-01-15 14:55:06.287,1
100534,2493,2019-01-15 14:55:06.287,1
100534,4991,2017-08-09 00:05:37.367,1
100568,0,2017-08-09 00:06:00.843,1
100568,2491,2019-01-15 14:55:06.287,1
100568,2492,2019-01-15 14:55:06.287,1
100568,2493,2019-01-15 14:55:06.287,1
100568,4991,2017-08-09 00:05:40.750,1
100579,0,2017-08-09 00:06:01.000,1
100579,2491,2019-01-17 13:55:09.517,1
100579,2492,2019-01-17 13:55:09.517,1
100579,2493,2019-01-17 13:55:09.517,1
100579,4991,2017-08-09 00:06:02.357,1
100584,0,2017-08-09 00:05:59.580,1
100584,2491,2019-01-15 15:30:10.990,1
100584,2492,2019-01-15 15:30:10.990,1
100584,2493,2019-01-15 15:30:10.990,1
100584,4991,2017-08-09 00:05:55.320,1
100615,0,2017-08-09 00:05:58.503,1
100615,2491,2019-01-14 04:00:10.783,1
100615,2492,2019-01-14 04:00:10.783,1
100615,2493,2019-01-14 04:00:10.783,1
100615,4991,2017-08-09 00:05:58.317,1
100632,0,2017-08-09 00:06:00.330,1
100632,2491,2019-01-17 11:15:08.680,1
100632,2492,2019-01-17 11:15:08.680,1
100632,2493,2019-01-17 11:15:08.680,1
100632,4991,2017-08-09 00:06:01.857,1
100677,0,2017-08-09 00:05:58.643,1
100677,2491,2019-01-15 15:20:06.887,1
100677,2492,2019-01-15 15:20:06.887,1
100677,2493,2019-01-15 15:20:06.887,1
100677,4991,2017-08-09 00:05:46.243,1
100682,0,2017-08-09 00:05:57.567,1
100682,2491,2019-01-17 09:05:08.577,1
100682,2492,2019-01-17 09:05:08.577,1
